Stations,Lat,Lon,dem,twi
SALCABAMBA,-12.15,-74.8,4036,6.3
ACOSTAMBO,-12.37,-75,4281,9.4
HUANCALPI,-12.58,-75.2,3751,5.0
ACOBAMBA,-12.84,-74.6,3603,5.7
LIRCAY,-12.98,-74.7,3703,5.5
VILCASHUAMAN,-13.66,-74,3027,5.8
CHOCLOCOCHA,-13.16,-75.1,4789,6.6
TUNEL CERO,-13.26,-75.1,4676,7.1
CURAHUASI,-13.55,-72.7,2875,8.4
PARURO,-13.77,-71.8,3479,5.2
ACOMAYO ,-13.92,-71.7,3681,5.3
LA ANGOSTURA,-15.18,-71.6,4118,5.1
COLQUEPATA,-13.36,-71.7,3740,5.8
PISAC,-13.42,-71.8,3837,9.5
CAICAY,-13.59,-71.7,3151,4.1
CCATCCA,-13.61,-71.6,4189,5.4
GRANJA KCAYRA,-13.56,-71.9,3317,7.2
POMACANCHI,-14.03,-71.5,3666,8.6
HUARAYA MOHO,-15.39,-69.5,3830,6.2
ARAPA,-15.14,-70.1,3818,9.9
PUTINA,-14.91,-69.9,3937,6.9
HUANCANE,-15.2,-69.8,3824,10.5
COJATA,-15.02,-69.4,4410,6.5
CRUCERO,-14.36,-70,4159,7.2
ANANEA,-14.6,-69.6,4467,7.7
PROGRESO,-14.71,-70,4083,4.8
AZANGARO,-14.91,-70.2,3855,11.7
SANTA ROSA-PUN,-14.62,-70.8,3949,14.3
CHUQUIBAMBILLA,-14.79,-70.7,3931,10.6
PUCARA,-15.05,-70.4,3961,4.6
JULI,-16.2,-69.5,3809,11.0
TAHUACO YUNGUYO,-16.31,-69.1,4105,6.3
DESAGUADERO,-16.57,-69,3817,10.1
PUNO,-15.83,-70,3809,14.3
ILAVE,-16.09,-69.6,3830,9.7
MAZO CRUZ,-16.74,-69.7,3961,9.7
PIZACOMA,-16.91,-69.4,4001,8.7
ISLA TAQUILE,-15.77,-69.7,3809,11.4
CUYO CUYO,-14.49,-69.5,4425,7.5
RICRAN,-11.56,-75.5,4228,4.8
EL MARONAL,-8.45,-75.1,178,11.7
SANTA MARIA DE NANAY,-3.83,-73.7,95,9.3
PUNCHANA,-3.69,-73.3,99,5.6
LA LIBERTAD,-3.46,-73.2,95,13.1
MAZAN,-3.48,-73.1,91,12.2
SANTA CRUZ,-3.5,-73.1,87,12.5
TIMICURILLO,-3.52,-73.1,103,7.2
SANTA ROSA,-4.29,-70,63,7.1
LA PAMPILLA,-16.41,-71.5,2466,6.0
IMATA,-15.84,-71.1,4441,8.6
PILLONES,-15.98,-71.2,4511,5.0
EL FRAYLE,-16.08,-71.2,4277,8.0
LA JOYA,-16.59,-71.9,1335,6.5
CHIGUATA,-16.4,-71.4,2944,6.3
LAS SALINAS,-16.32,-71.2,4672,6.6
PAUCARANI,-17.53,-69.8,4646,5.9
CAPAZO,-17.19,-69.7,4479,6.7
CHALLAPALCA,-17.24,-69.8,4275,9.1
CHUAPALCA,-17.29,-69.6,4274,7.1
PALCA,-17.77,-70,3000,4.6
CALANA,-17.94,-70.2,978,5.0
